# frame timestamp, TTL timestamp
532170782919,532170819483
532170816235,532170849991
532170849550,532170883279
532170882866,532170916652
532170916182,532170950053
532170949498,532170985584
532170982815,532171016448
532171016129,532171049752
532171049445,532171085507
532171082762,532171116267
532171116077,532171152110
532171149394,532171183885
532171182709,532171217068
532171216026,532171250516
532171249342,532171285800
532171282657,532171318684
532171315975,532171349630
532171349289,532171382869
532171382605,532171416033
532171415921,532171449697
532171449237,532171485350
532171482554,532171516204
532171515870,532171549507
532171549185,532171582899
532171582501,532171616147
532171615817,532171651881
532171649163,532171682836
532171682449,532171715994
532171715765,532171749510
532171749080,532171782890
532171782397,532171820923
532171815713,532171850386
532171849029,532171888224
532171882345,532171915907
532171915660,532171949379
532171948976,532171985035
532171982293,532172015973
532172015608,532172049215
532172048924,532172082499
532172082240,532172116519
532172115556,532172152585
532172148872,532172183414
532172182188,532172216671
532172215505,532172249943
532172248820,532172283295
532172282136,532172321056
532172315452,532172350037
532172348769,532172382987
532172382084,532172416532
532172415400,532172449883
532172448716,532172487240
532172482032,532172518261
532172515348,532172549055
532172548663,532172582229
532172581980,532172616404
532172615295,532172653820
532172648613,532172683104
532172681927,532172715631
532172715243,532172748925
532172748559,532172782127
532172781875,532172818764
532172815193,532172849057
532172848508,532172882341
532172881823,532172916402
532172915140,532172949695
532172948455,532172986966
532172981772,532173015567
532173015087,532173048863
532173048403,532173081954
532173081719,532173116207
532173115035,532173153573
532173148352,532173182845
532173181667,532173215444
532173215000,532173248681
532173248298,532173281649
532173281615,532173320051
532173314932,532173349461
532173348247,532173382742
532173381563,532173416114
532173414879,532173449331
532173448195,532173485306
532173481512,532173516025
532173514827,532173553417
532173548142,532173582692
532173581459,532173618249
532173614776,532173651768
532173648092,532173681791
532173681406,532173715093
532173714722,532173750888
532173748039,532173781442
532173781354,532173819894
532173814671,532173849226
532173847986,532173882512
532173881302,532173916529
532173914618,532173948271
532173947937,532173983992
532173981252,532174019744
532174014567,532174049128
532174047882,532174082379
532174081203,532174119636
532174114515,532174150564
532174147831,532174181479
532174181145,532174214870
532174214461,532174248138
532174247777,532174281177
532174281093,532174321077
532174314409,532174348887
532174347726,532174382204
532174381041,532174415555
532174414357,532174448706
532174447675,532174484778
532174480990,532174515346
532174514306,532174547950
532174547621,532174581330
532174580937,532174617789
532174614253,532174652649
532174647570,532174683284
532174680885,532174715286
532174714202,532174748725
532174747517,532174782005
532174780833,532174819333
532174814149,532174848829
532174847465,532174884511
532174880782,532174915270
532174914097,532174947904
532174947413,532174986451
532174980728,532175014021
532175014044,532175048507
532175047360,532175084008
532175080677,532175115152
532175113993,532175152468
532175147309,532175181552
532175180626,532175215070
532175213941,532175248513
532175247256,532175281848
532175280572,532175317599
532175313889,532175348188
532175347204,532175381460
532175380520,532175415017
532175413837,532175448431
532175447152,532175485778
532175480469,532175515002
532175513785,532175548251
532175547100,532175581648
532175580416,532175614917
532175613733,532175652223
532175647081,532175681914
532175680364,532175714803
532175713680,532175748194
532175746995,532175781640
532175780312,532175817345
532175813627,532175848084
532175846943,532175881603
532175880259,532175916790
532175913576,532175948145
532175946891,532175985551
532175980208,532176016641
532176013524,532176047160
532176046839,532176080581
532176080155,532176116574
532176113472,532176149549
532176146788,532176180601
532176180103,532176214421
532176213419,532176247866
532176246735,532176281384
532176280051,532176317603
532176313367,532176347955
532176346683,532176381326
532176379999,532176414443
